t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),An_mean(t),fn_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,temporal_coherence,tau_S,tau_gamma,tau_C,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),best_pair_gamma,best_pair_G,best_pair_score,tau_A_mean,tau_f_mean,decorrelation_time,autocorr_tau
4.8,-0.0257103111823,0.999998077073,-0.000402662911517,0.0935166276258,9,0.0001023125,1.96427130506,0.0917040090403,2.62667055884,0.0729388169385,0.993293280498,0.653194525588,0.0265712495998,37.1756951463,9.01628973883,0,4.49846815692,0.763416397031,1,0.870693454664,0.3,0.2,0.8,chronique,0.0193289422484,0.0144138858009,0.91656428251,0.919505913177,tanh,0.1,,,,0.353122440583,0.278775738531,0.3,0.561208036399
4.9,-0.0331193395037,0.999998051604,-0.000361055946959,0.092898378845,5,0.0001028917,1.03913490593,0.0911186727021,2.71748048049,0.0568697065791,0.993296338326,0.671645399958,0.0317796123243,37.1756951463,-9.25136399132,0,4.19865195636,0.764479479719,1,0.870460163552,0.3,0.2,0.8,chronique,0.0185491588876,0.0139553941468,1,0.983511776593,tanh,0.1,,,,0.367772882486,0.278523424761,0.3,0.561138049066
5,-0.0288820889873,0.999997861632,-0.000227114917991,0.0913250489621,8,0.0001225333,0.654954118624,0.0894756421442,2.76656089184,0.0759022049962,0.993292716437,0.688874771135,0.0302642363737,34.2838051387,-3.84180787307,0,3.93630321183,0.765784135643,1,0.87146963898,0.3,0.2,0.8,chronique,0.0178106745306,0.0145653519293,0.96,0.955902602407,tanh,0.1,1,tanh,4.11428571429,0.366612829799,0.279589317273,0.3,0.561440891694
5.1,-0.0229600488674,0.999997488184,-0.000193799425364,0.0915347845899,9,0.0001247875,0.758642953051,0.089933626449,2.74296415935,0.0713873471978,0.993293575791,0.689624911113,0.0243708163584,34.2838051387,1.03688834427,0,3.90227951962,0.767088959545,1,0.873318281848,0.4,0.2,0.8,chronique,0.0183552854182,0.0137840573434,0.908,0.909891185675,tanh,0.1,1,tanh,4.14285714286,0.350912625498,0.317052281797,0.4,0.749327312739
5.2,-0.0154541287039,0.999996912428,-0.000204054304478,0.091648943922,8,0.0001248667,0.641053852361,0.0900998486588,2.71208457652,0.072578564978,0.993293349066,0.690138921923,0.0180282743376,34.2838051387,-1.1758910069,0,3.86883895906,0.768005839256,1,0.874509988516,0.4,0.2,0.9,chronique,0.0187010559709,0.0134450354415,0.8664,0.869815651878,tanh,0.1,0.9,tanh,4.27142857143,0.34250357327,0.304144461229,0.4,0.749803995407
5.3,-0.00845550703964,0.999996115828,-0.000227228352826,0.091723622894,9,0.0001192209,0.819938930914,0.0902454575191,2.68700120555,0.0631252571785,0.993295148108,0.693030555133,0.0144378887446,34.2838051387,1.78885078552,0,3.90227951962,0.768205483613,1,0.8740776011,0.4,0.2,0.9,chronique,0.018980312198,0.0131518861304,0.81312,0.817180691028,tanh,0.1,0.9,tanh,4.27142857143,0.340884318588,0.257526221565,0.4,0.74963104044
5.4,-0.00180431694844,0.999995080286,-0.00025011358974,0.0913998632442,8,0.0001268167,0.751868575579,0.0899725274331,2.65480770546,0.0588024776073,0.993295970608,0.694833717746,0.010466732741,34.2838051387,-0.680703553347,0,3.93630321183,0.767405426285,1,0.870846270909,0.4,0.2,0.9,stable,0.0191524690288,0.0132376093639,0.770496,0.775001046805,tanh,0.1,0.9,tanh,4.27142857143,0.3347754454,0.222285719099,0.4,0.748338508364
5.5,0.00317440705316,0.999993788293,-0.000285999604188,0.0911314287582,9,0.0001258333,0.930355391168,0.0897608431594,2.62857954292,0.0546330044103,0.993296763844,0.695809843295,0.00912816622236,31.8528268275,1.78486815589,0,4.19865195636,0.766392561438,1,0.865756563368,0.3,0.2,0.9,stable,0.019333278495,0.0132011249383,0.7163968,0.72078099869,tanh,0.1,0.9,tanh,4.27142857143,0.327965723594,0.220741538252,0.3,0.55972696901
5.6,0.0072889109734,0.999992223078,-0.000326302251925,0.0904777919921,2,0.0001237209,0.852398916584,0.0891399420334,2.59539215368,0.0506168375874,0.993297527825,0.696347906776,0.00956955622692,31.8528268275,-0.779564745841,0,4.49846815692,0.765443468862,1,0.861463689006,0.3,0.2,0.8,stable,0.0194578711866,0.0136080433423,0.67311744,0.677435017997,tanh,0.1,0.9,tanh,4.27142857143,0.331837800525,0.229816359405,0.3,0.558439106702
5.7,0.00953870030962,0.999990368757,-0.000379250653824,0.0895532884696,1,0.000124225,1.10083860479,0.0882306361794,2.56828055652,0.0491753771149,0.993297802008,0.698437759106,0.01519555401,31.8528268275,2.48439688203,0,4.32027307032,0.764524598119,1,0.863234396648,0.3,0.2,0.8,stable,0.0196480078338,0.0140188525367,0.618493952,0.622252042642,tanh,0.1,0.7,tanh,4.27857142857,0.35068379394,0.234389894615,0.3,0.558970318995
5.8,0.0102966148551,0.999988210479,-0.000425130006093,0.0886560269606,9,0.0001276833,1.00647440195,0.0873184991447,2.53431914729,0.0477547390752,0.993298072219,0.698050211717,0.0209375290076,31.8528268275,-0.943642028371,0,4.15565753274,0.763663226698,1,0.867555016508,0.4,0.2,0.8,stable,0.019835780593,0.0148179488403,0.5747951616,0.57810734664,tanh,0.1,0.6,tanh,4.28571428571,0.365570844556,0.241633808493,0.4,0.747022006603
5.9,0.0101906791173,0.99998573457,-0.000486663885192,0.0873841594296,1,0.0001234292,0.919854352946,0.0860169498904,2.50651408667,0.0463549234684,0.993298338459,0.691342513705,0.0254870856673,31.8528268275,-0.866200490038,0,4.0430072784,0.76287521705,1,0.874227022266,0.4,0.2,0.7,stable,0.020146679201,0.0154081736427,0.53983612928,0.54260718064,tanh,0.1,0.6,tanh,4.28571428571,0.384622484205,0.244536616117,0.4,0.749690808906
